latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.759227,77.842255,870.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°)
2024-01-01 00:00:00,17.8,90,0.0,918.2,9.0,13.3,88,88
2024-01-01 01:00:00,18.1,86,0.0,919.2,8.9,11.7,79,76
2024-01-01 02:00:00,18.4,83,0.0,920.0,9.4,11.9,93,90
2024-01-01 03:00:00,19.4,77,0.0,920.9,9.8,12.4,107,107
2024-01-01 04:00:00,21.3,67,0.0,921.5,10.0,12.8,106,105
2024-01-01 05:00:00,23.4,58,0.0,921.4,9.4,11.7,108,108
2024-01-01 06:00:00,25.1,51,0.0,921.0,9.0,11.1,115,113
2024-01-01 07:00:00,26.3,46,0.0,920.1,8.9,10.9,117,117
2024-01-01 08:00:00,27.1,42,0.0,919.0,8.9,10.8,116,117
2024-01-01 09:00:00,27.4,39,0.0,918.0,10.1,12.5,123,125
2024-01-01 10:00:00,27.3,38,0.0,917.7,11.6,14.7,126,126
2024-01-01 11:00:00,26.5,40,0.0,917.6,11.6,15.0,120,120
2024-01-01 12:00:00,25.2,44,0.0,917.6,10.3,16.3,115,115
2024-01-01 13:00:00,22.0,59,0.0,918.2,6.5,15.4,111,109
2024-01-01 14:00:00,21.0,64,0.0,919.1,7.6,17.6,113,109
2024-01-01 15:00:00,20.4,68,0.0,919.8,11.6,23.7,114,112
2024-01-01 16:00:00,19.9,72,0.0,920.0,10.8,22.2,115,116
2024-01-01 17:00:00,19.6,77,0.0,919.6,11.5,23.0,110,110
2024-01-01 18:00:00,19.7,77,0.0,919.1,13.6,24.6,105,107
2024-01-01 19:00:00,18.7,88,0.0,918.5,15.5,24.3,102,103
2024-01-01 20:00:00,18.4,94,0.0,917.9,14.7,22.1,106,107
2024-01-01 21:00:00,18.3,93,0.0,917.3,13.1,20.2,106,106
2024-01-01 22:00:00,18.0,93,0.0,917.1,12.5,18.7,109,108
2024-01-01 23:00:00,17.9,92,0.0,917.4,11.9,17.5,104,104
2024-01-02 00:00:00,18.0,90,0.0,917.8,10.9,15.3,99,99
2024-01-02 01:00:00,18.2,88,0.0,918.6,10.8,14.8,93,94
2024-01-02 02:00:00,18.4,88,0.0,919.2,10.9,14.5,97,99
2024-01-02 03:00:00,19.4,81,0.0,920.0,11.9,15.5,94,95
2024-01-02 04:00:00,20.6,74,0.0,920.3,13.0,17.3,89,90
2024-01-02 05:00:00,22.4,65,0.0,920.3,10.9,13.8,96,96
2024-01-02 06:00:00,23.4,60,0.0,920.0,10.0,12.6,103,103
2024-01-02 07:00:00,25.3,52,0.0,919.1,11.9,14.8,93,93
2024-01-02 08:00:00,26.2,48,0.0,918.1,11.2,14.0,90,92
2024-01-02 09:00:00,26.6,46,0.0,917.2,13.0,16.3,96,96
2024-01-02 10:00:00,25.9,47,0.0,916.8,13.9,17.9,100,100
2024-01-02 11:00:00,24.8,49,0.0,916.7,14.5,18.9,104,104
2024-01-02 12:00:00,23.9,50,0.0,917.1,12.3,17.2,106,105
2024-01-02 13:00:00,23.0,52,0.0,918.1,10.5,18.6,112,112
2024-01-02 14:00:00,21.9,57,0.0,918.9,10.0,19.2,96,103
2024-01-02 15:00:00,21.0,63,0.0,919.4,13.4,23.4,101,104
2024-01-02 16:00:00,20.5,68,0.0,919.6,15.2,26.2,103,104
2024-01-02 17:00:00,19.7,76,0.0,919.4,14.3,24.6,101,100
2024-01-02 18:00:00,18.8,82,0.0,918.7,12.1,21.9,99,100
2024-01-02 19:00:00,18.3,88,0.0,918.1,11.5,20.5,91,94
2024-01-02 20:00:00,17.7,92,0.0,917.5,10.8,18.7,91,92
2024-01-02 21:00:00,16.9,96,0.0,916.6,9.4,18.1,95,97
2024-01-02 22:00:00,16.6,97,0.0,916.2,8.0,16.2,94,95
